SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD') AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-MAY-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD'), event
  7  ORDER BY event_time, event;

EVENT_TIME EVENT_NAME                       EVENT_COUNT                         
---------- -------------------------------- -----------                         
2005-01-27 disc.delete.any                            5                         
2005-01-27 disc.delete.own                           14                         
2005-01-27 disc.new                                 436                         
2005-01-27 disc.revise.any                           26                         
2005-01-27 disc.revise.own                           12                         
2005-01-27 mail.new                                 223                         
2005-01-27 mail.revise.any                            1                         
2005-01-27 prefs.add                                  2                         
2005-01-27 prefs.upd                                  1                         
2005-01-27 realm.add                                240                         
2005-01-27 realm.del                                 27                         
2005-01-27 realm.upd                                410                         
2005-01-27 realm.upd.own                             90                         
2005-01-27 site.add                                 141                         
2005-01-27 site.del                                  12                         
2005-01-27 site.upd                                 267                         
2005-01-27 user.add                                  71                         
2005-01-27 user.login                             20857                         
2005-01-27 user.logout                            20949                         
2005-01-27                                          210                         
2005-01-28 alias.add                                 17                         
2005-01-28 alias.del                                 11                         
2005-01-28 annc.delete.any                            6                         
2005-01-28 annc.delete.own                           33                         
2005-01-28 annc.new                                 222                         
2005-01-28 annc.revise.any                            1                         
2005-01-28 annc.revise.own                           58                         
2005-01-28 asn.new.assignment                        18                         
2005-01-28 asn.new.assignmentcontent                 18                         
2005-01-28 asn.revise.assignment                     30                         
2005-01-28 asn.revise.assignmentcontent              26                         
2005-01-28 asn.save.submission                      102                         
2005-01-28 asn.submit.submission                    951                         
2005-01-28 calendar.new                              54                         
2005-01-28 calendar.revise                          316                         
2005-01-28 chat.delete.any                            2                         
2005-01-28 chat.delete.own                            2                         
2005-01-28 chat.new                                 262                         
2005-01-28 content.delete                           339                         
2005-01-28 content.new                             2932                         
2005-01-28 content.read                           21421                         
2005-01-28 content.revise                           265                         
2005-01-28 digest.del                                 7                         
2005-01-28 digest.upd                               166                         
2005-01-28 dis.path.add                               5                         
2005-01-28 dis.path.del                               5                         
2005-01-28 dis.status.add                           406                         
2005-01-28 dis.status.del                           406                         
2005-01-28 disc.delete.any                            7                         
2005-01-28 disc.delete.own                           42                         
2005-01-28 disc.new                                 246                         
2005-01-28 disc.revise.any                           39                         
2005-01-28 disc.revise.own                           10                         
2005-01-28 mail.delete.any                           20                         
2005-01-28 mail.new                                 199                         
2005-01-28 mail.revise.any                            2                         
2005-01-28 prefs.add                                  3                         
2005-01-28 prefs.upd                                  2                         
2005-01-28 realm.add                                143                         
2005-01-28 realm.del                                 17                         
2005-01-28 realm.upd                                263                         
2005-01-28 realm.upd.own                             59                         
2005-01-28 site.add                                  64                         
2005-01-28 site.del                                   1                         
2005-01-28 site.upd                                 227                         
2005-01-28 user.add                                   9                         
2005-01-28 user.del                                   1                         
2005-01-28 user.login                             12084                         
2005-01-28 user.logout                            18975                         
2005-01-28 user.upd.any                               1                         
2005-01-28                                          209                         
2005-01-29 alias.add                                 18                         
2005-01-29 alias.del                                  7                         
2005-01-29 annc.delete.any                            1                         
2005-01-29 annc.delete.own                           13                         
2005-01-29 annc.new                                 113                         
2005-01-29 annc.revise.own                           18                         
2005-01-29 asn.new.assignment                         9                         
2005-01-29 asn.new.assignmentcontent                  9                         
2005-01-29 asn.revise.assignment                      6                         
2005-01-29 asn.revise.assignmentcontent               6                         
2005-01-29 asn.save.submission                       95                         
2005-01-29 asn.submit.submission                    695                         
2005-01-29 calendar.new                              34                         
2005-01-29 calendar.revise                           95                         
2005-01-29 chat.delete.any                            2                         
2005-01-29 chat.delete.own                            5                         
2005-01-29 chat.new                                  54                         
2005-01-29 content.delete                           125                         
2005-01-29 content.new                             1291                         
2005-01-29 content.read                           17934                         
2005-01-29 content.revise                           109                         
2005-01-29 digest.del                               177                         
2005-01-29 digest.upd                                 9                         
2005-01-29 dis.dis.add                                1                         
2005-01-29 dis.path.add                               1                         
2005-01-29 dis.path.del                               1                         
2005-01-29 dis.status.add                            64                         
2005-01-29 dis.status.del                            64                         
2005-01-29 disc.delete.own                            7                         
2005-01-29 disc.new                                 195                         
2005-01-29 disc.revise.any                           10                         
2005-01-29 disc.revise.own                            6                         
2005-01-29 mail.new                                 109                         
2005-01-29 prefs.add                                  2                         
2005-01-29 realm.add                                 75                         
2005-01-29 realm.del                                  5                         
2005-01-29 realm.upd                                229                         
2005-01-29 realm.upd.own                             53                         
2005-01-29 site.add                                  47                         
2005-01-29 site.del                                   2                         
2005-01-29 site.upd                                 108                         
2005-01-29 user.add                                  26                         
2005-01-29 user.login                              8400                         
2005-01-29 user.logout                             8365                         
2005-01-29                                           32                         
2005-01-30 alias.add                                 11                         
2005-01-30 alias.del                                  6                         
2005-01-30 annc.delete.own                           15                         
2005-01-30 annc.new                                 136                         
2005-01-30 annc.revise.any                            1                         
2005-01-30 annc.revise.own                           21                         
2005-01-30 asn.new.assignment                        23                         
2005-01-30 asn.new.assignmentcontent                 23                         
2005-01-30 asn.revise.assignment                     10                         
2005-01-30 asn.revise.assignmentcontent               7                         
2005-01-30 asn.save.submission                      131                         
2005-01-30 asn.submit.submission                    613                         
2005-01-30 calendar.new                              44                         
2005-01-30 calendar.revise                          166                         
2005-01-30 chat.delete.own                            2                         
2005-01-30 chat.new                                 186                         
2005-01-30 content.delete                           176                         
2005-01-30 content.new                             1479                         
2005-01-30 content.read                           26178                         
2005-01-30 content.revise                            83                         
2005-01-30 digest.del                                 6                         
2005-01-30 digest.upd                                49                         
2005-01-30 dis.path.add                               1                         
2005-01-30 dis.path.del                               1                         
2005-01-30 dis.status.add                            64                         
2005-01-30 dis.status.del                            64                         
2005-01-30 dis.status.upd                             6                         
2005-01-30 disc.delete.own                            2                         
2005-01-30 disc.new                                 314                         
2005-01-30 disc.revise.any                            6                         
2005-01-30 disc.revise.own                           10                         
2005-01-30 mail.new                                 142                         
2005-01-30 prefs.add                                  3                         
2005-01-30 prefs.upd                                  2                         
2005-01-30 realm.add                                 89                         
2005-01-30 realm.del                                 19                         
2005-01-30 realm.upd                                156                         
2005-01-30 realm.upd.own                             54                         
2005-01-30 site.add                                  53                         
2005-01-30 site.del                                   6                         
2005-01-30 site.upd                                  95                         
2005-01-30 user.add                                  28                         
2005-01-30 user.login                             12846                         
2005-01-30 user.logout                            12574                         
2005-01-30                                           39                         
2005-01-31 alias.add                                 40                         
2005-01-31 alias.del                                 13                         
2005-01-31 annc.delete.any                            1                         
2005-01-31 annc.delete.own                           95                         
2005-01-31 annc.new                                 406                         
2005-01-31 annc.revise.any                            1                         
2005-01-31 annc.revise.own                           45                         
2005-01-31 asn.new.assignment                        46                         
2005-01-31 asn.new.assignmentcontent                 46                         
2005-01-31 asn.revise.assignment                     69                         
2005-01-31 asn.revise.assignmentcontent              49                         
2005-01-31 asn.save.submission                      146                         
2005-01-31 asn.submit.submission                   1676                         
2005-01-31 calendar.new                             119                         
2005-01-31 calendar.revise                          430                         
2005-01-31 chat.delete.any                           13                         
2005-01-31 chat.delete.own                            3                         
2005-01-31 chat.new                                 691                         
2005-01-31 content.delete                          1941                         
2005-01-31 content.new                             5300                         
2005-01-31 content.read                           50009                         
2005-01-31 content.revise                           317                         
2005-01-31 digest.del                                21                         
2005-01-31 digest.upd                               433                         
2005-01-31 dis.path.add                               6                         
2005-01-31 dis.path.del                               6                         
2005-01-31 dis.status.add                           384                         
2005-01-31 dis.status.del                           384                         
2005-01-31 dis.status.upd                             9                         
2005-01-31 disc.delete.any                           81                         
2005-01-31 disc.delete.own                           27                         
2005-01-31 disc.new                                 482                         
2005-01-31 disc.revise.any                           52                         
2005-01-31 disc.revise.own                           20                         
2005-01-31 mail.new                                 461                         
2005-01-31 mail.revise.any                            5                         
2005-01-31 prefs.add                                  4                         
2005-01-31 prefs.upd                                  1                         
2005-01-31 realm.add                                221                         
2005-01-31 realm.del                                 72                         
2005-01-31 realm.upd                                693                         
2005-01-31 realm.upd.own                             77                         
2005-01-31 site.add                                 135                         
2005-01-31 site.del                                  11                         
2005-01-31 site.upd                                 301                         
2005-01-31 user.add                                  48                         
2005-01-31 user.login                             25514                         
2005-01-31 user.logout                            25524                         
2005-01-31 user.upd.own                               1                         
2005-01-31                                          226                         
2005-02-01 alias.add                                 19                         
2005-02-01 alias.del                                  3                         
2005-02-01 annc.delete.any                            1                         
2005-02-01 annc.delete.own                           34                         
2005-02-01 annc.new                                 342                         
2005-02-01 annc.revise.own                           41                         
2005-02-01 asn.new.assignment                        44                         
2005-02-01 asn.new.assignmentcontent                 44                         
2005-02-01 asn.revise.assignment                     50                         
2005-02-01 asn.revise.assignmentcontent              46                         
2005-02-01 asn.save.submission                      227                         
2005-02-01 asn.submit.submission                   1684                         
2005-02-01 calendar.new                             116                         
2005-02-01 calendar.revise                          297                         
2005-02-01 chat.delete.any                           26                         
2005-02-01 chat.delete.own                            2                         
2005-02-01 chat.new                                2618                         
2005-02-01 content.delete                           533                         
2005-02-01 content.new                             5218                         
2005-02-01 content.read                           51666                         
2005-02-01 content.revise                           331                         
2005-02-01 digest.del                               185                         
2005-02-01 digest.upd                               196                         
2005-02-01 dis.path.add                              11                         
2005-02-01 dis.path.del                              10                         
2005-02-01 dis.status.add                           678                         
2005-02-01 dis.status.del                           646                         
2005-02-01 dis.status.upd                            24                         
2005-02-01 disc.delete.own                           27                         
2005-02-01 disc.new                                 474                         
2005-02-01 disc.revise.any                           38                         
2005-02-01 disc.revise.own                           32                         
2005-02-01 mail.delete.any                            1                         
2005-02-01 mail.new                                 300                         
2005-02-01 mail.revise.any                            3                         
2005-02-01 prefs.add                                  1                         
2005-02-01 prefs.upd                                  2                         
2005-02-01 realm.add                                231                         
2005-02-01 realm.del                                 33                         
2005-02-01 realm.upd                                628                         
2005-02-01 realm.upd.own                             63                         
2005-02-01 site.add                                 126                         
2005-02-01 site.del                                   9                         
2005-02-01 site.upd                                 331                         
2005-02-01 user.add                                   6                         
2005-02-01 user.login                             26787                         
2005-02-01 user.logout                            26949                         
2005-02-01                                         1954                         
2005-02-02 alias.add                                 24                         
2005-02-02 alias.del                                 12                         
2005-02-02 annc.delete.own                           45                         
2005-02-02 annc.new                                 332                         
2005-02-02 annc.revise.any                            5                         
2005-02-02 annc.revise.own                           43                         
2005-02-02 asn.new.assignment                        47                         
2005-02-02 asn.new.assignmentcontent                 47                         
2005-02-02 asn.revise.assignment                     63                         
2005-02-02 asn.revise.assignmentcontent              61                         
2005-02-02 asn.save.submission                      208                         
2005-02-02 asn.submit.submission                   2448                         
2005-02-02 calendar.new                             106                         
2005-02-02 calendar.revise                          277                         
2005-02-02 chat.delete.own                            2                         
2005-02-02 chat.new                                1557                         
2005-02-02 content.delete                           466                         
2005-02-02 content.new                             5374                         
2005-02-02 content.read                           48286                         
2005-02-02 content.revise                           404                         
2005-02-02 digest.del                                82                         
2005-02-02 digest.upd                               310                         
2005-02-02 dis.path.add                               2                         
2005-02-02 dis.path.del                               1                         
2005-02-02 dis.status.add                           109                         
2005-02-02 dis.status.del                            64                         
2005-02-02 dis.status.upd                             4                         
2005-02-02 disc.delete.own                            6                         
2005-02-02 disc.new                                 513                         
2005-02-02 disc.revise.any                           38                         
2005-02-02 disc.revise.own                           46                         
2005-02-02 mail.delete.any                           23                         
2005-02-02 mail.new                                 273                         
2005-02-02 mail.revise.any                            1                         
2005-02-02 prefs.add                                  1                         
2005-02-02 prefs.upd                                  2                         
2005-02-02 realm.add                                185                         
2005-02-02 realm.del                                 35                         
2005-02-02 realm.upd                                245                         
2005-02-02 realm.upd.own                             51                         
2005-02-02 site.add                                 121                         
2005-02-02 site.del                                   7                         
2005-02-02 site.upd                                 221                         
2005-02-02 user.add                                   8                         
2005-02-02 user.login                             25113                         
2005-02-02 user.logout                            25164                         
2005-02-02                                           92                         
2005-02-03 alias.add                                  7                         
2005-02-03 alias.del                                  5                         
2005-02-03 annc.delete.any                            6                         
2005-02-03 annc.delete.own                           38                         
2005-02-03 annc.new                                 279                         
2005-02-03 annc.revise.any                            1                         
2005-02-03 annc.revise.own                           41                         
2005-02-03 asn.new.assignment                        39                         
2005-02-03 asn.new.assignmentcontent                 39                         
2005-02-03 asn.revise.assignment                     35                         
2005-02-03 asn.revise.assignmentcontent              35                         
2005-02-03 asn.save.submission                       86                         
2005-02-03 asn.submit.submission                   1595                         
2005-02-03 calendar.new                              91                         
2005-02-03 calendar.revise                          387                         
2005-02-03 chat.delete.own                            2                         
2005-02-03 chat.new                                1111                         
2005-02-03 content.delete                           405                         
2005-02-03 content.new                             4016                         
2005-02-03 content.read                           41374                         
2005-02-03 content.revise                           347                         
2005-02-03 digest.del                                90                         
2005-02-03 digest.upd                                98                         
2005-02-03 dis.dis.upd                               14                         
2005-02-03 dis.path.add                               7                         
2005-02-03 dis.path.del                               7                         
2005-02-03 dis.path.upd                            1113                         
2005-02-03 dis.status.add                          1001                         
2005-02-03 dis.status.del                           870                         
2005-02-03 dis.status.upd                            80                         
2005-02-03 dis.step.add                               6                         
2005-02-03 dis.step.del                               4                         
2005-02-03 dis.step.upd                               1                         
2005-02-03 disc.delete.any                           80                         
2005-02-03 disc.delete.own                           22                         
2005-02-03 disc.new                                 819                         
2005-02-03 disc.revise.any                           35                         
2005-02-03 disc.revise.own                           24                         
2005-02-03 mail.new                                 277                         
2005-02-03 mail.revise.any                            3                         
2005-02-03 prefs.add                                  3                         
2005-02-03 realm.add                                171                         
2005-02-03 realm.del                                 24                         
2005-02-03 realm.upd                                212                         
2005-02-03 realm.upd.own                             34                         
2005-02-03 site.add                                  99                         
2005-02-03 site.del                                   2                         
2005-02-03 site.upd                                 173                         
2005-02-03 user.add                                  10                         
2005-02-03 user.login                             21263                         
2005-02-03 user.logout                            21865                         
2005-02-03                                          286                         
2005-02-04 alias.add                                 39                         
2005-02-04 alias.del                                 16                         
2005-02-04 annc.delete.any                           14                         
2005-02-04 annc.delete.own                           29                         
2005-02-04 annc.new                                 246                         
2005-02-04 annc.revise.any                            1                         
2005-02-04 annc.revise.own                           19                         
2005-02-04 asn.new.assignment                        38                         
2005-02-04 asn.new.assignmentcontent                 38                         
2005-02-04 asn.revise.assignment                     24                         
2005-02-04 asn.revise.assignmentcontent              24                         
2005-02-04 asn.save.submission                       53                         
2005-02-04 asn.submit.submission                   1188                         
2005-02-04 calendar.new                              72                         
2005-02-04 calendar.revise                          230                         
2005-02-04 chat.new                                1200                         
2005-02-04 content.delete                           338                         
2005-02-04 content.new                             3164                         
2005-02-04 content.read                           31873                         
2005-02-04 content.revise                           396                         
2005-02-04 digest.del                                82                         
2005-02-04 digest.upd                               173                         
2005-02-04 dis.dis.add                                4                         
2005-02-04 dis.dis.upd                               11                         
2005-02-04 dis.info.add                               2                         
2005-02-04 dis.path.add                               6                         
2005-02-04 dis.path.del                               4                         
2005-02-04 dis.path.upd                            1383                         
2005-02-04 dis.status.add                           829                         
2005-02-04 dis.status.del                           660                         
2005-02-04 dis.status.upd                           401                         
2005-02-04 dis.step.add                               5                         
2005-02-04 dis.step.del                               4                         
2005-02-04 dis.step.upd                               4                         
2005-02-04 disc.delete.any                           12                         
2005-02-04 disc.delete.own                           11                         
2005-02-04 disc.new                                 302                         
2005-02-04 disc.revise.any                           24                         
2005-02-04 disc.revise.own                            8                         
2005-02-04 mail.delete.any                            1                         
2005-02-04 mail.new                                 244                         
2005-02-04 mail.revise.any                            3                         
2005-02-04 prefs.add                                  1                         
2005-02-04 prefs.upd                                  3                         
2005-02-04 realm.add                                170                         
2005-02-04 realm.del                                 30                         
2005-02-04 realm.upd                                254                         
2005-02-04 realm.upd.own                             25                         
2005-02-04 site.add                                  85                         
2005-02-04 site.del                                   6                         
2005-02-04 site.upd                                 261                         
2005-02-04 user.add                                  28                         
2005-02-04 user.del                                   2                         
2005-02-04 user.login                             15180                         
2005-02-04 user.logout                            15318                         
2005-02-04                                          238                         
2005-02-05 alias.add                                  4                         
2005-02-05 alias.del                                  2                         
2005-02-05 annc.delete.any                            1                         
2005-02-05 annc.delete.own                           14                         
2005-02-05 annc.new                                 105                         
2005-02-05 annc.revise.any                            1                         
2005-02-05 annc.revise.own                           17                         
2005-02-05 asn.new.assignment                         6                         
2005-02-05 asn.new.assignmentcontent                  6                         
2005-02-05 asn.revise.assignment                     10                         
2005-02-05 asn.revise.assignmentcontent              10                         
2005-02-05 asn.save.submission                       86                         
2005-02-05 asn.submit.submission                    561                         
2005-02-05 calendar.new                              27                         
2005-02-05 calendar.revise                           66                         
2005-02-05 chat.delete.own                            4                         
2005-02-05 chat.new                                 110                         
2005-02-05 content.delete                           153                         
2005-02-05 content.new                             1553                         
2005-02-05 content.read                           21289                         
2005-02-05 content.revise                           120                         
2005-02-05 digest.del                               191                         
2005-02-05 digest.upd                                 5                         
2005-02-05 dis.path.add                               3                         
2005-02-05 dis.path.del                               3                         
2005-02-05 dis.status.add                           208                         
2005-02-05 dis.status.del                           208                         
2005-02-05 dis.status.upd                            20                         
2005-02-05 disc.delete.any                            8                         
2005-02-05 disc.new                                 165                         
2005-02-05 disc.revise.any                            9                         
2005-02-05 disc.revise.own                           11                         
2005-02-05 mail.delete.any                            1                         
2005-02-05 mail.new                                 121                         
2005-02-05 mail.revise.any                            1                         
2005-02-05 prefs.add                                  2                         
2005-02-05 prefs.upd                                  1                         
2005-02-05 realm.add                                 58                         
2005-02-05 realm.del                                  6                         
2005-02-05 realm.upd                                 49                         
2005-02-05 realm.upd.own                             18                         
2005-02-05 site.add                                  32                         
2005-02-05 site.del                                   2                         
2005-02-05 site.upd                                  57                         
2005-02-05 user.add                                   3                         
2005-02-05 user.login                              9491                         
2005-02-05 user.logout                             9597                         
2005-02-05 user.upd.own                               1                         
2005-02-05                                          106                         
2005-02-06 alias.add                                  5                         
2005-02-06 alias.del                                  1                         
2005-02-06 annc.delete.own                            9                         
2005-02-06 annc.new                                 145                         
2005-02-06 annc.revise.own                           17                         
2005-02-06 asn.new.assignment                        11                         
2005-02-06 asn.new.assignmentcontent                 11                         
2005-02-06 asn.revise.assignment                     22                         
2005-02-06 asn.revise.assignmentcontent              21                         
2005-02-06 asn.save.submission                       66                         
2005-02-06 asn.submit.submission                    703                         
2005-02-06 calendar.new                              16                         
2005-02-06 calendar.revise                          261                         
2005-02-06 chat.new                                 926                         
2005-02-06 content.delete                           274                         
2005-02-06 content.new                             2053                         
2005-02-06 content.read                           26472                         
2005-02-06 content.revise                            83                         
2005-02-06 digest.del                                 5                         
2005-02-06 digest.upd                                34                         
2005-02-06 dis.path.add                               1                         
2005-02-06 dis.path.del                               1                         
2005-02-06 dis.status.add                            74                         
2005-02-06 dis.status.del                            74                         
2005-02-06 dis.status.upd                             5                         
2005-02-06 disc.delete.own                            5                         
2005-02-06 disc.new                                 223                         
2005-02-06 disc.revise.any                           15                         
2005-02-06 disc.revise.own                            9                         
2005-02-06 mail.new                                 176                         
2005-02-06 realm.add                                 49                         
2005-02-06 realm.del                                  7                         
2005-02-06 realm.upd                                144                         
2005-02-06 realm.upd.own                             26                         
2005-02-06 site.add                                  21                         
2005-02-06 site.del                                   4                         
2005-02-06 site.upd                                  80                         
2005-02-06 user.add                                   5                         
2005-02-06 user.login                             12667                         
2005-02-06 user.logout                            12596                         
2005-02-06                                           38                         
2005-02-07 alias.add                                 16                         
2005-02-07 alias.del                                  3                         
2005-02-07 annc.delete.any                            6                         
2005-02-07 annc.delete.own                           58                         
2005-02-07 annc.new                                 266                         
2005-02-07 annc.revise.own                           26                         
2005-02-07 asn.new.assignment                        38                         
2005-02-07 asn.new.assignmentcontent                 38                         
2005-02-07 asn.revise.assignment                     25                         
2005-02-07 asn.revise.assignmentcontent              15                         
2005-02-07 asn.save.submission                      141                         
2005-02-07 asn.submit.submission                   1357                         
2005-02-07 calendar.new                              83                         
2005-02-07 calendar.revise                          152                         
2005-02-07 chat.new                                1420                         
2005-02-07 content.delete                           318                         
2005-02-07 content.new                             3939                         
2005-02-07 content.read                           45910                         
2005-02-07 content.revise                           276                         
2005-02-07 digest.del                                14                         
2005-02-07 digest.upd                               270                         
2005-02-07 dis.path.upd                             579                         
2005-02-07 dis.status.upd                           586                         
2005-02-07 dis.step.upd                              11                         
2005-02-07 disc.delete.any                            5                         
2005-02-07 disc.delete.own                            9                         
2005-02-07 disc.new                                 338                         
2005-02-07 disc.revise.any                           17                         
2005-02-07 disc.revise.own                           22                         
2005-02-07 mail.new                                 315                         
2005-02-07 mail.revise.any                            1                         
2005-02-07 prefs.add                                  3                         
2005-02-07 prefs.upd                                  1                         
2005-02-07 realm.add                                188                         
2005-02-07 realm.del                                 47                         
2005-02-07 realm.upd                                441                         
2005-02-07 realm.upd.own                             58                         
2005-02-07 site.add                                  96                         
2005-02-07 site.del                                   9                         
2005-02-07 site.upd                                 222                         
2005-02-07 user.add                                  55                         
2005-02-07 user.login                             22866                         
2005-02-07 user.logout                            22544                         
2005-02-07 user.upd.own                               1                         
2005-02-07                                         1223                         
2005-02-08 alias.add                                 10                         
2005-02-08 alias.del                                  5                         
2005-02-08 annc.delete.any                            3                         
2005-02-08 annc.delete.own                           20                         
2005-02-08 annc.new                                 289                         
2005-02-08 annc.revise.any                            2                         
2005-02-08 annc.revise.own                           42                         
