SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD') AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-MAY-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD'), event
  7  ORDER BY event_time, event;

EVENT_TIME EVENT_NAME                       EVENT_COUNT                         
---------- -------------------------------- -----------                         
2005-01-04 disc.delete.any                           30                         
2005-01-04 disc.delete.own                            2                         
2005-01-04 disc.new                                 246                         
2005-01-04 disc.revise.any                           35                         
2005-01-04 disc.revise.own                            2                         
2005-01-04 mail.delete.any                            5                         
2005-01-04 mail.new                                 132                         
2005-01-04 prefs.add                                  2                         
2005-01-04 realm.add                                606                         
2005-01-04 realm.del                                126                         
2005-01-04 realm.upd                                654                         
2005-01-04 realm.upd.own                            197                         
2005-01-04 site.add                                 486                         
2005-01-04 site.del                                  79                         
2005-01-04 site.upd                                 942                         
2005-01-04 user.add                                  26                         
2005-01-04 user.login                              8981                         
2005-01-04 user.logout                             8912                         
2005-01-04                                          471                         
2005-01-05 alias.add                                 49                         
2005-01-05 alias.del                                 33                         
2005-01-05 annc.delete.any                           19                         
2005-01-05 annc.delete.own                           72                         
2005-01-05 annc.new                                1101                         
2005-01-05 annc.revise.any                            1                         
2005-01-05 annc.revise.own                           67                         
2005-01-05 asn.new.assignment                        60                         
2005-01-05 asn.new.assignmentcontent                 60                         
2005-01-05 asn.revise.assignment                     52                         
2005-01-05 asn.revise.assignmentcontent              25                         
2005-01-05 asn.save.submission                       10                         
2005-01-05 asn.submit.submission                    201                         
2005-01-05 calendar.new                             764                         
2005-01-05 calendar.revise                         1203                         
2005-01-05 chat.new                                 338                         
2005-01-05 content.delete                          1064                         
2005-01-05 content.new                             4423                         
2005-01-05 content.read                           30590                         
2005-01-05 content.revise                           466                         
2005-01-05 digest.del                               141                         
2005-01-05 digest.upd                               109                         
2005-01-05 dis.path.add                              12                         
2005-01-05 dis.path.del                              12                         
2005-01-05 dis.status.add                           806                         
2005-01-05 dis.status.del                           806                         
2005-01-05 dis.status.upd                            45                         
2005-01-05 disc.delete.any                            1                         
2005-01-05 disc.delete.own                           33                         
2005-01-05 disc.new                                 329                         
2005-01-05 disc.revise.any                           41                         
2005-01-05 disc.revise.own                           10                         
2005-01-05 mail.delete.any                           12                         
2005-01-05 mail.new                                 141                         
2005-01-05 mail.revise.any                            4                         
2005-01-05 prefs.add                                  5                         
2005-01-05 prefs.upd                                  1                         
2005-01-05 realm.add                               1068                         
2005-01-05 realm.del                                 90                         
2005-01-05 realm.upd                                786                         
2005-01-05 realm.upd.own                            378                         
2005-01-05 site.add                                 930                         
2005-01-05 site.del                                  61                         
2005-01-05 site.upd                                 969                         
2005-01-05 user.add                                  10                         
2005-01-05 user.del                                   1                         
2005-01-05 user.login                             17777                         
2005-01-05 user.logout                            17697                         
2005-01-05                                          579                         
2005-01-06 alias.add                                 80                         
2005-01-06 alias.del                                 27                         
2005-01-06 annc.delete.any                           46                         
2005-01-06 annc.delete.own                          123                         
2005-01-06 annc.new                                1157                         
2005-01-06 annc.revise.any                            3                         
2005-01-06 annc.revise.own                           79                         
2005-01-06 asn.new.assignment                        71                         
2005-01-06 asn.new.assignmentcontent                 71                         
2005-01-06 asn.revise.assignment                    127                         
2005-01-06 asn.revise.assignmentcontent              78                         
2005-01-06 asn.save.submission                       24                         
2005-01-06 asn.submit.submission                    439                         
2005-01-06 calendar.new                             729                         
2005-01-06 calendar.revise                          881                         
2005-01-06 chat.delete.own                            1                         
2005-01-06 chat.new                                 220                         
2005-01-06 content.delete                          1541                         
2005-01-06 content.new                             5249                         
2005-01-06 content.read                           31374                         
2005-01-06 content.revise                           492                         
2005-01-06 digest.del                               171                         
2005-01-06 digest.upd                               299                         
2005-01-06 dis.path.add                               7                         
2005-01-06 dis.path.del                               5                         
2005-01-06 dis.status.add                           384                         
2005-01-06 dis.status.del                           320                         
2005-01-06 dis.status.upd                            18                         
2005-01-06 disc.delete.any                            4                         
2005-01-06 disc.delete.own                            8                         
2005-01-06 disc.new                                 295                         
2005-01-06 disc.revise.any                           89                         
2005-01-06 disc.revise.own                           14                         
2005-01-06 mail.delete.any                            9                         
2005-01-06 mail.new                                 200                         
2005-01-06 mail.revise.any                            7                         
2005-01-06 prefs.add                                  2                         
2005-01-06 realm.add                                951                         
2005-01-06 realm.del                                 86                         
2005-01-06 realm.upd                                875                         
2005-01-06 realm.upd.own                            408                         
2005-01-06 site.add                                 842                         
2005-01-06 site.del                                  48                         
2005-01-06 site.upd                                1001                         
2005-01-06 user.add                                  24                         
2005-01-06 user.login                             18640                         
2005-01-06 user.logout                            18621                         
2005-01-06                                          243                         
2005-01-07 alias.add                                 54                         
2005-01-07 alias.del                                 22                         
2005-01-07 annc.delete.any                           10                         
2005-01-07 annc.delete.own                           44                         
2005-01-07 annc.new                                 781                         
2005-01-07 annc.revise.any                            1                         
2005-01-07 annc.revise.own                           56                         
2005-01-07 asn.new.assignment                        60                         
2005-01-07 asn.new.assignmentcontent                 60                         
2005-01-07 asn.revise.assignment                    143                         
2005-01-07 asn.revise.assignmentcontent              62                         
2005-01-07 asn.save.submission                       53                         
2005-01-07 asn.submit.submission                    236                         
2005-01-07 calendar.new                             454                         
2005-01-07 calendar.revise                          989                         
2005-01-07 chat.delete.own                            1                         
2005-01-07 chat.new                                 237                         
2005-01-07 content.delete                           559                         
2005-01-07 content.new                             3820                         
2005-01-07 content.read                           28320                         
2005-01-07 content.revise                           354                         
2005-01-07 digest.del                               102                         
2005-01-07 digest.upd                               132                         
2005-01-07 dis.path.add                               5                         
2005-01-07 dis.path.del                               5                         
2005-01-07 dis.path.upd                               1                         
2005-01-07 dis.status.add                           321                         
2005-01-07 dis.status.del                           320                         
2005-01-07 dis.status.upd                             9                         
2005-01-07 disc.delete.own                           87                         
2005-01-07 disc.new                                 285                         
2005-01-07 disc.revise.any                          104                         
2005-01-07 disc.revise.own                            7                         
2005-01-07 mail.new                                 168                         
2005-01-07 mail.revise.any                            2                         
2005-01-07 prefs.add                                  8                         
2005-01-07 realm.add                                651                         
2005-01-07 realm.del                                 55                         
2005-01-07 realm.upd                                929                         
2005-01-07 realm.upd.own                            264                         
2005-01-07 site.add                                 544                         
2005-01-07 site.del                                  21                         
2005-01-07 site.upd                                 696                         
2005-01-07 user.add                                  24                         
2005-01-07 user.login                             14640                         
2005-01-07 user.logout                            14833                         
2005-01-07 user.upd.own                               3                         
2005-01-07                                          194                         
2005-01-08 alias.add                                 18                         
2005-01-08 alias.del                                  8                         
2005-01-08 annc.delete.any                            2                         
2005-01-08 annc.delete.own                           36                         
2005-01-08 annc.new                                 235                         
2005-01-08 annc.revise.own                           15                         
2005-01-08 asn.new.assignment                        13                         
2005-01-08 asn.new.assignmentcontent                 13                         
2005-01-08 asn.revise.assignment                     72                         
2005-01-08 asn.revise.assignmentcontent              32                         
2005-01-08 asn.save.submission                       12                         
2005-01-08 asn.submit.submission                    103                         
2005-01-08 calendar.new                             155                         
2005-01-08 calendar.revise                          174                         
2005-01-08 chat.new                                  38                         
2005-01-08 content.delete                           351                         
2005-01-08 content.new                             1286                         
2005-01-08 content.read                           15468                         
2005-01-08 content.revise                           107                         
2005-01-08 digest.del                                81                         
2005-01-08 digest.upd                                 8                         
2005-01-08 dis.path.add                               4                         
2005-01-08 dis.path.del                               4                         
2005-01-08 dis.status.add                           256                         
2005-01-08 dis.status.del                           256                         
2005-01-08 dis.status.upd                             7                         
2005-01-08 disc.delete.own                            2                         
2005-01-08 disc.new                                  84                         
2005-01-08 disc.revise.any                           44                         
2005-01-08 disc.revise.own                            2                         
2005-01-08 mail.new                                  81                         
2005-01-08 prefs.add                                  1                         
2005-01-08 prefs.upd                                  3                         
2005-01-08 realm.add                                229                         
2005-01-08 realm.del                                 16                         
2005-01-08 realm.upd                                181                         
2005-01-08 realm.upd.own                            146                         
2005-01-08 site.add                                 184                         
2005-01-08 site.del                                   6                         
2005-01-08 site.upd                                 225                         
2005-01-08 user.add                                   1                         
2005-01-08 user.login                              7448                         
2005-01-08 user.logout                             7439                         
2005-01-08                                          134                         
2005-01-09 alias.add                                 22                         
2005-01-09 alias.del                                 12                         
2005-01-09 annc.delete.any                            2                         
2005-01-09 annc.delete.own                           26                         
2005-01-09 annc.new                                 386                         
2005-01-09 annc.revise.own                           18                         
2005-01-09 asn.new.assignment                        12                         
2005-01-09 asn.new.assignmentcontent                 12                         
2005-01-09 asn.revise.assignment                     81                         
2005-01-09 asn.revise.assignmentcontent              13                         
2005-01-09 asn.save.submission                       24                         
2005-01-09 asn.submit.submission                    151                         
2005-01-09 calendar.new                             236                         
2005-01-09 calendar.revise                          311                         
2005-01-09 chat.new                                 205                         
2005-01-09 content.delete                           101                         
2005-01-09 content.new                             1635                         
2005-01-09 content.read                           26920                         
2005-01-09 content.revise                           120                         
2005-01-09 digest.del                                 6                         
2005-01-09 digest.upd                                14                         
2005-01-09 dis.path.add                               5                         
2005-01-09 dis.path.del                               5                         
2005-01-09 dis.status.add                           388                         
2005-01-09 dis.status.del                           388                         
2005-01-09 dis.status.upd                             6                         
2005-01-09 disc.delete.own                            4                         
2005-01-09 disc.new                                 229                         
2005-01-09 disc.revise.any                            7                         
2005-01-09 disc.revise.own                           10                         
2005-01-09 mail.new                                  87                         
2005-01-09 prefs.add                                  3                         
2005-01-09 prefs.upd                                  1                         
2005-01-09 realm.add                                343                         
2005-01-09 realm.del                                 39                         
2005-01-09 realm.upd                                229                         
2005-01-09 realm.upd.own                            196                         
2005-01-09 site.add                                 289                         
2005-01-09 site.del                                  13                         
2005-01-09 site.upd                                 331                         
2005-01-09 user.add                                   4                         
2005-01-09 user.login                             12338                         
2005-01-09 user.logout                            12090                         
2005-01-09                                          206                         
2005-01-10 alias.add                                 16                         
2005-01-10 alias.del                                  7                         
2005-01-10 annc.delete.any                           23                         
2005-01-10 annc.delete.own                           44                         
2005-01-10 annc.new                                 431                         
2005-01-10 annc.revise.any                            2                         
2005-01-10 annc.revise.own                           23                         
2005-01-10 asn.new.assignment                        17                         
2005-01-10 asn.new.assignmentcontent                 17                         
2005-01-10 asn.revise.assignment                     10                         
2005-01-10 asn.revise.assignmentcontent               9                         
2005-01-10 asn.save.submission                       76                         
2005-01-10 asn.submit.submission                    458                         
2005-01-10 calendar.new                             301                         
2005-01-10 calendar.revise                          292                         
2005-01-10 chat.delete.own                            1                         
2005-01-10 chat.new                                 551                         
2005-01-10 content.delete                           249                         
2005-01-10 content.new                             2751                         
2005-01-10 content.read                           27242                         
2005-01-10 content.revise                           127                         
2005-01-10 digest.del                                 8                         
2005-01-10 digest.upd                                82                         
2005-01-10 dis.info.add                               3                         
2005-01-10 dis.path.add                               8                         
2005-01-10 dis.path.del                               4                         
2005-01-10 dis.status.add                           406                         
2005-01-10 dis.status.del                           278                         
2005-01-10 disc.delete.own                            1                         
2005-01-10 disc.new                                 216                         
2005-01-10 disc.revise.any                            6                         
2005-01-10 disc.revise.own                           13                         
2005-01-10 mail.delete.any                           22                         
2005-01-10 mail.new                                 237                         
2005-01-10 mail.revise.any                            2                         
2005-01-10 prefs.add                                 10                         
2005-01-10 prefs.upd                                  1                         
2005-01-10 realm.add                                409                         
2005-01-10 realm.del                                 21                         
2005-01-10 realm.upd                                431                         
2005-01-10 realm.upd.own                            248                         
2005-01-10 site.add                                 358                         
2005-01-10 site.del                                  10                         
2005-01-10 site.upd                                 231                         
2005-01-10 user.add                                  34                         
2005-01-10 user.login                             18996                         
2005-01-10 user.logout                            25936                         
2005-01-10                                         1154                         
2005-01-11 alias.add                                 63                         
2005-01-11 alias.del                                 27                         
2005-01-11 annc.delete.any                            9                         
2005-01-11 annc.delete.own                           49                         
2005-01-11 annc.new                                 767                         
2005-01-11 annc.revise.any                            6                         
2005-01-11 annc.revise.own                           53                         
2005-01-11 asn.new.assignment                        71                         
2005-01-11 asn.new.assignmentcontent                 71                         
2005-01-11 asn.revise.assignment                     80                         
2005-01-11 asn.revise.assignmentcontent              53                         
2005-01-11 asn.save.submission                       72                         
2005-01-11 asn.submit.submission                    368                         
2005-01-11 calendar.new                             458                         
2005-01-11 calendar.revise                          620                         
2005-01-11 chat.delete.any                            2                         
2005-01-11 chat.new                                 119                         
2005-01-11 content.delete                          1061                         
2005-01-11 content.new                             4678                         
2005-01-11 content.read                           47324                         
2005-01-11 content.revise                           471                         
2005-01-11 digest.del                                12                         
2005-01-11 digest.upd                               228                         
2005-01-11 dis.path.add                               9                         
2005-01-11 dis.path.del                               9                         
2005-01-11 dis.path.upd                               3                         
2005-01-11 dis.status.add                           603                         
2005-01-11 dis.status.del                           604                         
2005-01-11 dis.status.upd                            21                         
2005-01-11 disc.delete.any                            2                         
2005-01-11 disc.delete.own                           24                         
2005-01-11 disc.new                                 495                         
2005-01-11 disc.revise.any                           51                         
2005-01-11 disc.revise.own                           25                         
2005-01-11 mail.new                                 222                         
2005-01-11 mail.revise.any                            2                         
2005-01-11 prefs.add                                 10                         
2005-01-11 realm.add                                657                         
2005-01-11 realm.del                                 34                         
2005-01-11 realm.upd                                678                         
2005-01-11 realm.upd.own                            322                         
2005-01-11 site.add                                 542                         
2005-01-11 site.del                                  19                         
2005-01-11 site.upd                                 712                         
2005-01-11 user.add                                  29                         
2005-01-11 user.login                             24583                         
2005-01-11 user.logout                            31588                         
2005-01-11 user.upd.any                               1                         
2005-01-11 user.upd.own                               1                         
2005-01-11                                          329                         
2005-01-12 alias.add                                 46                         
2005-01-12 alias.del                                 16                         
2005-01-12 annc.delete.any                            2                         
2005-01-12 annc.delete.own                           91                         
2005-01-12 annc.new                                 901                         
2005-01-12 annc.revise.any                            1                         
2005-01-12 annc.revise.own                           83                         
2005-01-12 asn.new.assignment                        86                         
2005-01-12 asn.new.assignmentcontent                 86                         
2005-01-12 asn.revise.assignment                     49                         
2005-01-12 asn.revise.assignmentcontent              41                         
2005-01-12 asn.save.submission                      134                         
2005-01-12 asn.submit.submission                    766                         
2005-01-12 calendar.new                             489                         
2005-01-12 calendar.revise                          992                         
2005-01-12 chat.delete.any                            6                         
2005-01-12 chat.delete.own                           13                         
2005-01-12 chat.new                                 481                         
2005-01-12 content.delete                           868                         
2005-01-12 content.new                             5063                         
2005-01-12 content.read                           52841                         
2005-01-12 content.revise                           350                         
2005-01-12 digest.del                               188                         
2005-01-12 digest.upd                               106                         
2005-01-12 dis.path.add                               7                         
2005-01-12 dis.path.del                               7                         
2005-01-12 dis.status.add                           464                         
2005-01-12 dis.status.del                           464                         
2005-01-12 dis.status.upd                             6                         
2005-01-12 disc.delete.any                           46                         
2005-01-12 disc.delete.own                           13                         
2005-01-12 disc.new                                 557                         
2005-01-12 disc.revise.any                           26                         
2005-01-12 disc.revise.own                           26                         
2005-01-12 mail.delete.any                            1                         
2005-01-12 mail.new                                 260                         
2005-01-12 mail.revise.any                            3                         
2005-01-12 prefs.add                                 23                         
2005-01-12 prefs.upd                                  3                         
2005-01-12 realm.add                                680                         
2005-01-12 realm.del                                 69                         
2005-01-12 realm.upd                               1164                         
2005-01-12 realm.upd.own                            401                         
2005-01-12 site.add                                 554                         
2005-01-12 site.del                                  26                         
