SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_hour, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date <= '01-FEB-05'
  5  AND (event='content.read' OR event='content.new' OR event='content.revise' or event='content.delete')
  6  AND ref NOT LIKE '/content/public/%'
  7  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  8  ORDER BY event_hour, event_name;

EVENT_HOUR          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-02 21:00:00 content.read                             346                
2005-01-02 21:00:00 content.revise                            47                
2005-01-02 22:00:00 content.delete                            66                
2005-01-02 22:00:00 content.new                              114                
2005-01-02 22:00:00 content.read                             363                
2005-01-02 22:00:00 content.revise                            25                
2005-01-02 23:00:00 content.delete                            82                
2005-01-02 23:00:00 content.new                               93                
2005-01-02 23:00:00 content.read                             341                
2005-01-02 23:00:00 content.revise                            17                
2005-01-03 00:00:00 content.delete                            30                
2005-01-03 00:00:00 content.new                               66                
2005-01-03 00:00:00 content.read                             298                
2005-01-03 00:00:00 content.revise                            37                
2005-01-03 01:00:00 content.delete                            61                
2005-01-03 01:00:00 content.new                              146                
2005-01-03 01:00:00 content.read                             365                
2005-01-03 01:00:00 content.revise                             7                
2005-01-03 02:00:00 content.delete                            97                
2005-01-03 02:00:00 content.new                               70                
2005-01-03 02:00:00 content.read                             705                
2005-01-03 02:00:00 content.revise                            11                
2005-01-03 03:00:00 content.delete                             6                
2005-01-03 03:00:00 content.new                               35                
2005-01-03 03:00:00 content.read                             366                
2005-01-03 03:00:00 content.revise                             1                
2005-01-03 04:00:00 content.delete                             3                
2005-01-03 04:00:00 content.new                               56                
2005-01-03 04:00:00 content.read                             229                
2005-01-03 04:00:00 content.revise                             7                
2005-01-03 05:00:00 content.new                               35                
2005-01-03 05:00:00 content.read                             164                
2005-01-03 06:00:00 content.new                               34                
2005-01-03 06:00:00 content.read                              78                
2005-01-03 07:00:00 content.new                                9                
2005-01-03 07:00:00 content.read                              56                
2005-01-03 08:00:00 content.new                                2                
2005-01-03 08:00:00 content.read                              30                
2005-01-03 09:00:00 content.read                              14                
2005-01-03 10:00:00 content.new                                4                
2005-01-03 10:00:00 content.read                              29                
2005-01-03 11:00:00 content.new                                7                
2005-01-03 11:00:00 content.read                             102                
2005-01-03 12:00:00 content.delete                             5                
2005-01-03 12:00:00 content.new                               22                
2005-01-03 12:00:00 content.read                             163                
2005-01-03 12:00:00 content.revise                             4                
2005-01-03 13:00:00 content.new                               31                
2005-01-03 13:00:00 content.read                             160                
