SQL> SELECT TO_CHAR(event_date,'YYYY-MM-DD HH24')||':00:00' AS event_time, event AS event_name, COUNT(*) AS event_count
  2  FROM chef_event_archive
  3  WHERE
  4  event_date >= '01-JAN-05' AND event_date < '01-FEB-05'
  5  AND NOT (event='content.read' AND ref LIKE '/content/public/%')
  6  GROUP BY TO_CHAR(event_date,'YYYY-MM-DD HH24'), event
  7  ORDER BY event_time, event;

EVENT_TIME          EVENT_NAME                       EVENT_COUNT                
------------------- -------------------------------- -----------                
2005-01-01 16:00:00 site.add                                   5                
2005-01-01 16:00:00 site.del                                   4                
2005-01-01 16:00:00 site.upd                                  21                
2005-01-01 16:00:00 user.login                                84                
2005-01-01 16:00:00 user.logout                               74                
2005-01-01 17:00:00 annc.new                                   3                
2005-01-01 17:00:00 annc.revise.own                            1                
2005-01-01 17:00:00 asn.new.assignment                         1                
2005-01-01 17:00:00 asn.new.assignmentcontent                  1                
2005-01-01 17:00:00 asn.submit.submission                      1                
2005-01-01 17:00:00 calendar.new                               2                
2005-01-01 17:00:00 calendar.revise                            8                
2005-01-01 17:00:00 content.delete                            25                
2005-01-01 17:00:00 content.new                              108                
2005-01-01 17:00:00 content.read                             330                
2005-01-01 17:00:00 content.revise                             1                
2005-01-01 17:00:00 dis.path.add                               1                
2005-01-01 17:00:00 dis.path.del                               1                
2005-01-01 17:00:00 dis.status.add                            64                
2005-01-01 17:00:00 dis.status.del                            64                
2005-01-01 17:00:00 realm.add                                 14                
2005-01-01 17:00:00 realm.del                                  3                
2005-01-01 17:00:00 realm.upd                                 11                
2005-01-01 17:00:00 site.add                                   9                
2005-01-01 17:00:00 site.del                                   3                
2005-01-01 17:00:00 site.upd                                  11                
2005-01-01 17:00:00 user.login                                90                
2005-01-01 17:00:00 user.logout                               89                
2005-01-01 17:00:00                                           34                
2005-01-01 18:00:00 annc.delete.own                            2                
2005-01-01 18:00:00 annc.new                                   5                
2005-01-01 18:00:00 asn.new.assignment                         1                
2005-01-01 18:00:00 asn.new.assignmentcontent                  1                
2005-01-01 18:00:00 asn.revise.assignment                      1                
2005-01-01 18:00:00 asn.revise.assignmentcontent               1                
2005-01-01 18:00:00 calendar.new                               4                
2005-01-01 18:00:00 calendar.revise                            6                
2005-01-01 18:00:00 chat.new                                   2                
2005-01-01 18:00:00 content.new                               40                
2005-01-01 18:00:00 content.read                             230                
2005-01-01 18:00:00 disc.new                                   4                
2005-01-01 18:00:00 mail.new                                   1                
2005-01-01 18:00:00 realm.add                                  2                
2005-01-01 18:00:00 realm.upd                                  1                
2005-01-01 18:00:00 realm.upd.own                             16                
2005-01-01 18:00:00 site.add                                   1                
2005-01-01 18:00:00 site.upd                                  16                
2005-01-01 18:00:00 user.add                                   1                
2005-01-01 18:00:00 user.login                                91                
2005-01-01 18:00:00 user.logout                               94                
2005-01-01 18:00:00                                            1                
2005-01-01 19:00:00 annc.new                                   1                
2005-01-01 19:00:00 annc.revise.own                            2                
2005-01-01 19:00:00 calendar.new                               1                
2005-01-01 19:00:00 calendar.revise                           14                
2005-01-01 19:00:00 content.delete                             9                
2005-01-01 19:00:00 content.new                               41                
2005-01-01 19:00:00 content.read                             136                
2005-01-01 19:00:00 content.revise                             6                
2005-01-01 19:00:00 disc.new                                   1                
2005-01-01 19:00:00 realm.add                                  5                
2005-01-01 19:00:00 realm.del                                  1                
2005-01-01 19:00:00 realm.upd                                  1                
2005-01-01 19:00:00 site.add                                   1                
2005-01-01 19:00:00 site.upd                                   3                
2005-01-01 19:00:00 user.login                                98                
2005-01-01 19:00:00 user.logout                               92                
2005-01-01 19:00:00                                            7                
2005-01-01 20:00:00 annc.new                                   4                
2005-01-01 20:00:00 calendar.new                               4                
2005-01-01 20:00:00 calendar.revise                            4                
2005-01-01 20:00:00 content.delete                             4                
2005-01-01 20:00:00 content.new                               38                
2005-01-01 20:00:00 content.read                             117                
2005-01-01 20:00:00 content.revise                             5                
2005-01-01 20:00:00 mail.new                                   2                
2005-01-01 20:00:00 realm.add                                  8                
2005-01-01 20:00:00 realm.del                                  1                
2005-01-01 20:00:00 realm.upd                                  3                
2005-01-01 20:00:00 site.add                                   5                
2005-01-01 20:00:00 site.upd                                   5                
2005-01-01 20:00:00 user.login                                83                
2005-01-01 20:00:00 user.logout                               87                
2005-01-01 21:00:00 annc.new                                   1                
2005-01-01 21:00:00 asn.new.assignment                         1                
2005-01-01 21:00:00 asn.new.assignmentcontent                  1                
2005-01-01 21:00:00 asn.revise.assignment                      2                
2005-01-01 21:00:00 asn.revise.assignmentcontent               2                
2005-01-01 21:00:00 calendar.new                               1                
2005-01-01 21:00:00 calendar.revise                           48                
2005-01-01 21:00:00 content.delete                             4                
2005-01-01 21:00:00 content.new                               88                
2005-01-01 21:00:00 content.read                             172                
2005-01-01 21:00:00 content.revise                            27                
2005-01-01 21:00:00 disc.new                                   2                
2005-01-01 21:00:00 disc.revise.any                            1                
